source_title;source_article;source_price;reason
"Букет невесты ""Фиолетовая нежность""";0002;4.50;article_not_found
"Букет невесты ""Восторг""";0009;9.00;article_not_found
Композиция в коробке из ранункулюсов, альстромерии и эустомы;0013;34.20;article_not_found
Букет из красных и оранжевых роз;0014;2.70;article_not_found
Композиция из кустовых роз в коробке в виде сердца;0018;18.00;article_not_found
Композиция в коробке из орхидей, кустовой розы и гвоздики;0020;21.60;article_not_found
Композиция в коробке из желтых тюльпанов и калл;0022;30.00;article_not_found
Композиция в коробке из разных сортов роз;0024;30.00;article_not_found
"Композиция в коробке ""конус"" с гиацинтами";0027;13.50;article_not_found
"Композиция ""Корабль"" с хризатемой, гвоздикой и герберой";0028;9.00;article_not_found
Букет из желтых роз и ирисов с мимозой;0040;2.70;article_not_found
"Композиция ""Сердце"" из роз и хризантем";0045;10.10;article_not_found
Композиция в сумочке из ранункулюсов и роз с альстромерией и скиммией;0046;10.80;article_not_found
Букет из гербер и альстромений с кустовой розой;0052;4.50;article_not_found
Букет из орхидей с герберами, фисташками и аспарагусом;0055;4.50;article_not_found
Букет из калл;0060;2.40;article_not_found
Букет из 11 тюльпанов с бувардией и аспидистрой;0062;2.70;article_not_found
"Композиция ""Корабль"" с орхидеей, ранункулюсами и эвкалиптом";0063;9.00;article_not_found
Цветочная композиция из анемонов и гвоздик;0065;12.00;article_not_found
Корзина с розами и герберами;0074;30.00;article_not_found
Букет из роз и ранункулюсов с орхидеей Ванда;0082;2.70;article_not_found
Корзина с белыми розами, орхидеями и эустомой;0096;44.10;article_not_found
Корзина круговая с белыми и красными розами;0099;71.70;article_not_found
Композиция из сухоцветов;00110;15.00;article_not_found
Корзина круговая из хризантем, гербер, лилий и роз;00117;69.00;article_not_found
Букет из лаванды;00125;3.00;article_not_found
Композиция из сухоцветов;00127;24.00;article_not_found
Клмпозиция из сухоцветов;00128;9.00;article_not_found
Композиция из гортензии, эустомы, кустовой розы и эвкалипта;00129;24.00;article_not_found
Композиция из хризантемы, эустомы, матиоллы, статицы и эрингиумв;00130;24.00;article_not_found
"Букет невесты ""Летний бриз""";131;2.00;article_not_found
"Букет невесты ""Сладостная музыка""";00133;2.00;article_not_found
Бутоньерка;;5.00;blank_article_title_not_unique_or_missing
Композиция из сухоцветов;;21.00;blank_article_title_not_unique_or_missing
Композиция из сухоцветов;;15.00;blank_article_title_not_unique_or_missing
"Композиция из роз ""Сердце""";;0.00;blank_article_title_not_unique_or_missing
Композиция из фалариса;;27.00;blank_article_title_not_unique_or_missing
Букет из тюльпанов;;6.00;blank_article_title_not_unique_or_missing
Композиция с гиацинтами и фрезией;;30.00;blank_article_title_not_unique_or_missing
