id;title;article
263;"Букет невесты ""Фиолетовая нежность""";0002
264;"Букет невесты ""Восторг""";0009
265;Композиция в коробке из ранункулюсов, альстромерии и эустомы;0013
266;Букет из красных и оранжевых роз;0014
268;Композиция в коробке из орхидей, кустовой розы и гвоздики;0020
269;Композиция в коробке из желтых тюльпанов и калл;0022
270;Композиция в коробке из разных сортов роз;0024
271;"Композиция в коробке ""конус"" с гиацинтами";0027
273;Букет из желтых роз и ирисов с мимозой;0040
276;Букет из гербер и альстромений с кустовой розой;0052
279;Букет из 11 тюльпанов с бувардией и аспидистрой;0062
283;Букет из роз и ранункулюсов с орхидеей Ванда;0082
284;Корзина с белыми розами, орхидеями и эустомой;0096
285;Корзина круговая с белыми и красными розами;0099
286;Композиция из сухоцветов;00110
287;Корзина круговая из хризантем, гербер, лилий и роз;00117
288;Букет из лаванды;00125
289;Композиция из сухоцветов;00127
290;Клмпозиция из сухоцветов;00128
291;Композиция из гортензии, эустомы, кустовой розы и эвкалипта;00129
293;"Букет невесты ""Летний бриз""";131
294;"Букет невесты ""Сладостная музыка""";00133
